lat_deg,lon_deg,route_name,color
57.21552833,10.68758833,uten navn,Rod
57.21744667,10.69595667,uten navn,Rod
57.21850333,10.70289500,uten navn,Rod
57.22069833,10.71055000,uten navn,Rod
57.22090500,10.71652167,uten navn,Rod
57.22274167,10.72416000,uten navn,Rod
57.22510500,10.73772000,uten navn,Rod
57.22628333,10.74605833,uten navn,Rod
57.22785667,10.75441667,uten navn,Rod
57.22952667,10.76350833,uten navn,Rod
57.22960167,10.76579833,uten navn,Rod
57.23085667,10.77112667,uten navn,Rod
57.23273500,10.78375833,uten navn,Rod
57.23435167,10.79077833,uten navn,Rod
57.23494000,10.79736833,uten navn,Rod
57.23593000,10.80106167,uten navn,Rod
57.23628833,10.80366500,uten navn,Rod
57.23704167,10.80748000,uten navn,Rod
57.23802333,10.81289667,uten navn,Rod
57.23930500,10.82124500,uten navn,Rod
57.24087167,10.82960833,uten navn,Rod
57.24222333,10.83796167,uten navn,Rod
57.24364667,10.84632000,uten navn,Rod
57.24503333,10.85467667,uten navn,Rod
57.24649167,10.86303667,uten navn,Rod
57.24771167,10.87032500,uten navn,Rod
57.24887333,10.87681500,uten navn,Rod
57.23291333,10.54795167,uten navn,Rod
57.22838500,10.56625167,uten navn,Rod
57.22102167,10.60996333,uten navn,Rod
57.21067167,10.67322667,uten navn,Rod
57.24126167,10.83985333,uten navn,Rod
57.23846500,10.54558000,uten navn,Rod
57.23846833,10.54560167,uten navn,Rod
57.23846667,10.54561333,uten navn,Rod
57.23846667,10.54564167,uten navn,Rod
57.23846500,10.54565333,uten navn,Rod
57.23846500,10.54567000,uten navn,Rod
57.23847000,10.54575167,uten navn,Rod
57.23846667,10.54594500,uten navn,Rod
57.23846333,10.54616333,uten navn,Rod
57.23844667,10.54630333,uten navn,Rod
57.23836500,10.54676667,uten navn,Rod
57.23836000,10.54680000,uten navn,Rod
57.23835000,10.54684833,uten navn,Rod
57.23834500,10.54689667,uten navn,Rod
57.23833500,10.54694333,uten navn,Rod
57.23832833,10.54699167,uten navn,Rod
57.23832167,10.54704000,uten navn,Rod
57.23831333,10.54709167,uten navn,Rod
57.23830667,10.54713833,uten navn,Rod
57.23829667,10.54718500,uten navn,Rod
57.23828833,10.54723167,uten navn,Rod
57.23827833,10.54728000,uten navn,Rod
57.23826833,10.54732833,uten navn,Rod
57.23826000,10.54737833,uten navn,Rod
57.23825000,10.54742500,uten navn,Rod
57.23824000,10.54747167,uten navn,Rod
57.23823167,10.54752000,uten navn,Rod
57.23822333,10.54756333,uten navn,Rod
